id,Time,Is_CH,who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
5,1490,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
7,1490,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1515,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1520,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1530,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1535,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1545,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1545,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1555,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
7,1565,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1565,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1575,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1595,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1600,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1615,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1615,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
7,1625,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1625,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1670,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1685,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1685,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1695,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
7,1700,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1700,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
7,1720,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1725,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1735,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1740,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1745,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1755,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1800,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1805,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1810,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1820,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1825,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1850,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1860,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1870,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1885,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1890,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1900,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,1905,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1905,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,1910,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,1935,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,1975,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,1985,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,2000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,2005,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,2015,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
6,2025,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,2025,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
2,2040,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,2045,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
4,2050,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
3,2085,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
5,2085,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.008
