id,Time,Is_CH,who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
5,1493,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.002
1,1493,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
7,1494,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.002
1,1494,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
2,1515,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.002
1,1515,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
4,1522,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.002
1,1522,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
6,1533,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.002
1,1533,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.001
