id,Time,Is_CH,who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
5,1493,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.045
7,1494,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.046
2,1515,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.044
4,1522,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.045
6,1533,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.046
3,1556,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.044
5,1670,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.047
7,1687,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.048
2,1701,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.046
4,1722,0,1,0,0,0,0,0,0,0,0,6,0,6,0,2,0.045
