ID,Time,Is_CH,Who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
111073,553,1,111073,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.00582
102041,103,1,102041,0.0,1,3,0,93,1,0,0,0,1302,0,0.0,0,0.00726
103003,153,1,103003,0.0,1,1,0,72,1,0,0,0,1296,0,0.0,0,0.00745
108078,403,1,108078,0.0,1,3,0,73,1,0,0,0,1314,0,0.0,0,0.00725
111029,553,1,111029,0.0,1,5,0,36,1,0,0,0,1260,0,0.0,0,0.00722
112040,603,1,112040,0.0,1,5,0,48,1,0,0,0,1296,0,0.0,0,0.00726
114005,703,1,114005,0.0,1,3,0,38,1,0,0,0,1254,0,0.0,0,0.00732
114065,703,1,114065,0.0,1,3,0,40,1,0,0,0,1280,0,0.0,0,0.0073
115021,753,1,115021,0.0,1,5,0,59,1,0,0,0,1298,0,0.0,0,0.00721
117061,853,1,117061,0.0,1,9,0,20,1,0,0,0,1131,0,0.0,0,0.00728
201021,1003,1,201021,0.0,1,7,0,20,1,0,0,0,1140,0,0.0,0,0.0072
201061,1003,1,201061,0.0,1,7,0,31,1,0,0,0,1240,0,0.0,0,0.00719
101021,53,1,101021,0.0,1,0,0,17,1,0,0,0,1105,0,0.0,0,0.00225
101041,53,1,101041,0.0,1,0,0,34,1,0,0,0,1258,0,0.0,0,0.00225
102040,103,1,102040,0.0,1,2,0,31,1,0,0,0,1240,0,0.0,0,0.00728
103029,153,1,103029,0.0,1,3,0,10,1,0,0,0,960,0,0.0,0,0.00724
103078,153,1,103078,0.0,1,3,0,45,1,0,0,0,1260,0,0.0,0,0.00722
105005,253,1,105005,0.0,1,2,0,10,1,0,0,0,927,0,0.0,0,0.05273
105040,253,1,105040,0.0,1,2,0,31,1,0,0,0,1155,0,0.0,0,1.82509
106003,303,1,106003,0.0,1,5,0,19,1,0,0,0,1140,0,0.0,0,0.00734
106005,303,1,106005,0.0,1,5,0,15,1,0,0,0,1080,0,0.0,0,2.26538
106041,303,1,106041,0.0,1,5,0,14,1,0,0,0,990,0,0.0,0,0.27124
106058,303,1,106058,0.0,1,5,0,5,1,0,0,0,720,0,0.0,0,0.18777
107003,353,1,107003,0.0,1,5,0,9,1,0,0,0,927,0,0.0,0,2.09484
107005,353,1,107005,0.0,1,5,0,16,1,0,0,0,1088,0,0.0,0,2.19525
107041,353,1,107041,0.0,1,5,0,13,1,0,0,0,996,0,0.0,0,2.29338
107058,353,1,107058,0.0,1,5,0,13,1,0,0,0,1040,0,0.0,0,2.21863
107061,353,1,107061,0.0,1,5,0,4,1,0,0,0,640,0,0.0,0,0.00685
108003,403,1,108003,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,2.20725
108005,403,1,108005,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,2.21698
109005,453,1,109005,0.0,1,3,0,0,0,0,0,0,0,0,0.0,0,1.41039
