ID,Time,Is_CH,Who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
106040,303,1,106040,0.0,1,1,0,89,89,0,0,0,0,0,0.0,0,0.00724
110029,503,1,110029,0.0,1,4,0,42,42,0,0,0,0,0,0.0,0,0.00722
112005,603,1,112005,0.0,1,7,0,20,20,0,0,0,0,0,0.0,0,0.00722
113065,653,1,113065,0.0,1,6,0,43,43,0,0,0,0,0,0.0,0,0.00729
117061,853,1,117061,0.0,1,2,0,64,64,0,0,0,0,0,0.0,0,0.00733
118041,903,1,118041,0.0,1,6,0,63,63,0,0,0,0,0,0.0,0,0.00724
119003,953,1,119003,0.0,1,7,0,17,17,0,0,0,0,0,0.0,0,0.00722
119058,953,1,119058,0.0,1,7,0,29,29,0,0,0,0,0,0.0,0,0.00722
120021,1003,1,120021,0.0,1,6,0,15,15,0,0,0,0,0,0.0,0,0.00724
120078,1003,1,120078,0.0,1,6,0,45,45,0,0,0,0,0,0.0,0,0.00724
201005,1053,1,201005,0.0,1,2,0,69,69,0,0,0,0,0,0.0,0,0.00722
101029,53,1,101029,0.0,1,0,0,22,22,0,0,0,0,0,0.0,0,0.00229
103058,153,1,103058,0.0,1,5,0,54,54,0,0,0,0,0,0.0,0,0.00724
105040,253,1,105040,0.0,1,4,0,52,52,0,0,0,0,0,0.0,0,0.00721
108061,403,1,108061,0.0,1,4,0,46,46,0,0,0,28,0,0.0,0,0.00722
109005,453,1,109005,0.0,1,4,0,53,53,0,0,0,0,0,0.0,0,0.00725
111021,553,1,111021,0.0,1,5,0,15,15,0,0,0,0,0,0.0,0,0.00724
111065,553,1,111065,0.0,1,5,0,26,26,0,0,0,0,0,0.0,0,0.00724
114003,703,1,114003,0.0,1,7,0,19,19,0,0,0,0,0,0.0,0,0.00718
118041,903,1,118041,0.0,1,4,0,51,51,0,0,0,0,0,0.0,0,0.00722
118078,903,1,118078,0.0,1,4,0,29,29,0,0,0,0,0,0.0,0,0.00724
201061,1003,1,201061,0.0,1,7,0,29,29,0,0,0,0,0,0.0,0,0.00727
103009,153,1,103009,0.0,1,5,0,54,54,0,0,0,0,0,0.0,0,0.00723
104001,203,1,104001,0.0,1,2,0,34,34,0,0,0,0,0,0.0,0,0.00723
104096,203,1,104096,0.0,1,2,0,56,56,0,0,0,0,0,0.0,0,0.00729
105073,253,1,105073,0.0,1,5,0,53,53,0,0,0,0,0,0.0,0,0.00722
110034,503,1,110034,0.0,1,6,0,14,14,0,0,0,0,0,0.0,0,0.00727
110063,503,1,110063,0.0,1,6,0,44,44,0,0,0,0,0,0.0,0,0.00722
110088,503,1,110088,0.0,1,6,0,11,11,0,0,0,0,0,0.0,0,0.00725
116016,803,1,116016,0.0,1,1,0,96,96,0,0,0,0,0,0.0,0,0.00725
